序号,单词,注音,释义
352,bed ,bed, n.床 床位 圃 河床 底层 基座 vt.铺床 去睡觉 安置 发生性关系 vi.铺床 去睡觉 铺层 躺平
353,bee ,bi:, n.蜂 密蜂 忙碌的人
354,beef ,bi:f, n.牛肉 菜牛 v.抱怨 诉苦
355,beer ,biə, n.啤酒
356,before ,bi'fɔ:, adj. & adv.以前 在...之前 prep. & conj.在...以前 向...
357,beg ,beg, vt.乞讨 恳求 合理需要 vi.行乞 乞求 abbr.(begin)的缩写 开始
358,beggar ,'begə, n.乞丐 穷人 <非正式>人 家伙 vt.使贫穷 使不足 使不能
359,begin ,bi'gin, vi.开始 起初是 vt.开始 意欲作出某事
360,beginner ,bi'ginə, n.初学者 生手
361,beginning ,bi'giniŋ, n.开始 开端 起源 早期 adj.刚开始的 动词begin的现在分词
362,behalf ,bi'hɑ:f, n.利益 维护 支持
363,behave ,bi'heiv, vi.表现 举止 行为 举止端正 运转
364,behavior ,bi'heivjə, n.行为 举止 态度
365,behind ,bi'haind, adv.在后面 落后 迟地 adj.后面的 落后的 迟的 慢的 prep.在...后面 落后于 掩盖 基于 支持 n.屁股
366,being ,'bi:iŋ, n.存在 生物 生命 人 vi.存在 处于 举行 去或来 是 adj.现在的 目前的
367,belief ,bi'li:f, n.信任 相信 信念 信仰
368,believe ,bi'li:v, vt.相信 认为
369,bell ,bel, n.钟 铃 门铃 钟声 花冠 吼叫声 vt.敲钟 使象钟状地张开 vi.使呈钟状 张开
370,belong ,bi'lɔŋ, vi.属于 附属 适合于
371,beloved ,bi'lʌvid, adj.为...的爱的 心爱的 n.爱人
372,below ,bi'ləu, adv.在下面 向下 下级 prep.在...下面(以下) (级别、重要性)低于 adj.在...下面 n.下面的东西
373,belt ,belt, n.带(状物) 腰带 皮带 区 vi.飞奔 大声唱 vt.系上腰带 环绕 击打 大声唱
374,bench ,bentʃ, n.长凳 条凳 工作台 梯田 vt.坐在长凳上 放置长凳 在展览会上展览 vi.形成梯田
375,bend ,bend, vt.使弯曲 vi.弯曲 屈服 n.弯曲(物) 弯道
376,beneath ,bi'ni:θ, adv.在下方 prep.在...下方 在...之下
377,beneficial ,.beni'fiʃəl, adj.有利的 有益的
378,benefit ,'benifit, n.利益 恩惠 津贴 义卖 义演 vt.有益于 vi.得益
379,berry ,'beri, n.浆果(如草莓等)
380,beside ,bi'said, prep.在...旁边 与…相比
381,besides ,bi'saidz, adv.而且 也 此外 prep.除...之外 adj.别的
382,best ,best, adj.最好的 最大的 adv.最 最好地 n.最好的人(或物) vt.胜于
383,bet ,bet, n.打赌 赌注 最大的可能 vi.下注 vt.打赌
384,betray ,bi'trei, vt.误导 出卖 背叛 辜负 泄漏 vi.证明...错误
385,better ,'betə, adj.较好的 更好的 adv.更好地 v.使...更好 超越 n.更好的事物
386,between ,bi'twi:n, adv.在中间 prep.在...中间
387,beyond ,bi'jɔnd, adv.在更远处 另外 n.远处 来世 prep.在...的那边 超出 越过 另外
388,Bible ,'baibl, n.基督教《圣经》 有权威的书
389,bicycle ,'baisik(ə)l, n.自行车 脚踏车 v.骑自行车
390,big ,big, adj.大的 巨大的 重要的 adv.以郑重的方式 大数量 n.杰出的组织和个人
391,bike ,baik, n.自行车 vi.骑自行车
392,bill ,bil, n. 比尔(男名) 账单 钞票 招贴 票据 清单 议案 法案 广告 鸟嘴 喙 vt. 开帐单 用海报宣传 把...列成表
393,billion ,'biljən, num.(英)万亿 (美)十亿 n.大量 adj.大量的
394,bind ,baind, n.窘境 vt.捆绑 包扎 装钉 约束 约束
395,biology ,bai'ɔlədʒi, n.生物学 生态学
396,bird ,bə:d, n.鸟 家禽 陶土飞靶 伙伴 vi.观察或辨认鸟
397,birth ,bə:θ, n.分娩 出生 诞生 出身 血统 出现 起源
398,birthday ,'bə:θdei, n.生日 诞生的日期
399,biscuit ,'biskit, n.(英)饼干 (美)软饼 姜黄褐色
400,bit ,bit, n.一点 少量 一些 小片 钻头 马嚼子 辅币 位 比特(二进位制信息单位) vt.控制
401,bite ,bait, n.咬 一口 少量食物 咬伤的伤口 vt.咬 叮 螫 剌穿 vi.咬(饵) 使剧痛 紧抓
402,bitter ,'bitə, adj.苦的 痛苦的 剧烈的 严寒的 n.苦久 苦涩 苦的东西 vt.使...变苦 adv.激烈地 极其
403,bitterly ,'bitəli, adv.苦苦地 悲痛地 怨恨地 残酷地
404,black ,blæk, adj.黑的 暗的 穿黑衣服的 脏的 邪恶的 阴沉的 机密的 n.黑色东西 黑色 黑人 (棋类)黑子 v.(使)变黑 抹黑
405,blackboard ,'blækbɔ:d, n.黑板
406,blade ,bleid, n.刀刃 刀片 叶片 刀锋 
407,blame ,bleim, n.过失 责备 vt.责备 把...归咎于
408,blank ,blæŋk, adj. 空白的 茫然的 全部的 面无表情的 未完工的 n. 空白(处) 空隙 空虚 (有弹药而无弹头的)空弹 vi. 消失 走神 vt. 使模糊不清 删除 封闭 (比赛时连续得分)使对手得零分
409,blanket ,'blæŋkit, n.毛毯 羊毛毯 覆盖物 排字版 vt.用毯子裹 扑灭 挡风 覆盖 使包含 adj.包含所有的 适用于所有情形的
410,blast ,blɑ:st, n.爆炸 冲击波 气流 一阵 汽笛声 vi.爆破 突然发出声音 vt.喷射 炸掉
411,blaze ,bleiz, n.火焰 烈火 闪光 vi.燃烧 发光 vt.燃烧 宣布 在树皮上刻痕 领导 开拓
412,bleed ,bli:d, vi. 出血 流血 泌脂 ( 为事业 祖国 ) 负伤或牺性 ( 花草﹑ 树木等 ) 流出汁液 出大笔钱 vt. 放血 勒索钱财 大大削弱 使...流血 n. 印刷到纸边上去 漏出
413,blend ,blend, vt. &vi.混合 n.混合物
414,bless ,bles, vt.为...祝福 赐福 祈佑 称颂上帝 使神圣 赋予
415,blind ,blaind, adj.瞎的 盲目的 未察觉的 n.百叶窗 幌子 vt.使失明 隐藏 adv.盲目地
416,block ,blɔk, n.街区 木块 石块 阻塞(物) 障碍(物) vt.堵塞 拦阻
417,blood ,blʌd, n.血 血液 血统 仇恨 vt.流血
418,bloom ,blu:m, n.花 开花 开花期 钢块 兴旺 vt.使...开花 vi.开花 变得健康
419,blossom ,'blɔsəm, n.花 开花 全盛期 vi.开花 成长
420,blow ,bləu, vi.吹 吹动 吹响 打击 殴打 v.吹 风吹 擤（鼻子） 【口】浪费（机会）
421,blue ,blu:, adj.蓝色的 沮丧的 忧郁的 (女人)有学问的 n.蓝色 vt.使...变蓝 vi.变蓝
422,board ,bɔ:d, n. 板 木板 甲板 董事会 伙食 舞台 演员的职业 船舷 vt. 上(飞机、船、车等) 有偿提供食宿 用木板覆盖 vi.搭伙
423,boast ,bəust, n.吹牛 vi.吹牛 自夸 vt.吹牛 吹嘘
424,boat ,bəut, n.小船 艇 渔船 船型物体 vt.放于船上 vi.划船
425,body ,'bɔdi, n.身体 人 主体 尸体 正文 vt.赋予形体 体现
426,boil ,bɔil, n.皮下脓肿 沸腾 vi.沸腾 汽化 vt.煮沸
427,bold ,bəuld, adj.大胆的 冒失的 粗体的 醒目的 无礼的 陡峭的
428,bolt ,bəult, n. 螺栓 螺钉 插销 门闩 突发 剑弩 闪电 vt. 闩门 闩住 用螺栓固定在一起 狼吞虎咽 vi. 冲出去 急逃 adv. 背部挺直地坐或站
429,bomb ,bɔm, n.炸弹 高压罐 火山口喷出的熔岩 vt.轰炸 大败 长传 vi.失败
430,bond ,bɔnd, n.联结 联系 结合 公债 债券 粘结剂 粘合剂
431,bone ,bəun, n.骨 骨骼 核心 vt.除去骨头 往衣服里加撑条 磨光表面 vi.努力学习 adv.非常地 极其地
432,book ,buk, n.书 书籍 vt.预定 登记 vi.通过...预订
433,boot ,bu:t, n. 靴子 长统靴 (英)汽车行李箱 猛踢 锁扣 vt. 踢 穿靴子 锁车 vi. (计算机) 启动 在(通常为非法停放的汽车)车轮上装制动装置 利用 帮助
434,booth ,bu:θ, n.货摊 公用电话亭 小间
435,border ,'bɔ:də, n.边 边缘 边界 vt.作...之疆界 加边
436,bore ,bɔ:, vbl.忍受(动词bear 过去式) n.令人讨厌的人 枪膛 孔 井眼 枪管口径 涌潮 vt.使厌烦 钻 挖 vi.挖掘 开凿
437,born ,bɔ:n, 动词bear的过去分词 adj.天生的 出生的 与生俱来的
438,borrow ,'bɔrəu, vt.借 借用 借入
439,bosom ,'buzəm, n.胸 胸部 内心
440,boss ,bɔs, n.老板 上司 vt.指挥 控制
441,both ,bəuθ, adj.两者的 conj.不但…而且… pron.两者(都)
442,bother ,'bɔðə, vt.烦扰 迷惑 vi.烦扰 操心 n.麻烦 烦扰
443,bottle ,'bɔtl, n.瓶 酒瓶 一瓶 vt.装瓶 抑制
444,bottom ,'bɔtəm, n. 底 底部 根基 臀部 船身 水底 服装下面的部分 低洼地 底色 尽头 adj. 底部的 vt. 给...装底 建立基础 到达底部 vi. 到达底部 垫底 降到最低点
445,bough ,bau, n.大树枝
446,bounce ,bauns, n.跳 反跃 (活)弹力 vt.弹跳 向...透露注意 vi.反跳 弹起 跳起 重新恢复
447,bound ,baund, n.跳跃 界限 范围 adj.一定的 必定的 有义务的 受约束的 装订的 vt.跳跃前进 形成界限
448,boundary ,'baundri, n.分界线 边界
449,bow ,"bəu,bau", n.弓 蝴蝶结 鞠躬 船头 两手准备 vi.鞠躬 成弓形 弯腰 首次上演 屈服 听从 尊重 vt.重压 弯曲
450,bowl ,bəul, n.碗 钵 碗状物 物体的碗状部分 季后赛 圆形露天剧场 vi.打保龄球 快速移动 vt.投球 投球得分
451,box ,bɔks, n.箱 盒 包箱 专席 亭子 窘境 vt. 装...入盒中 限制住 调和 改变形状 用拳击… vi.参与拳击 拳击 打拳
452,boy ,bɔi, n.男孩 儿子 少年 家伙
453,brain ,brein, n.脑 脑髓 脑力 智力 vt.打...的脑袋
454,brake ,breik, n.蕨菜 闸 刹车 制动器 vt. & vi.制动 煞车 压榨
455,branch ,brɑ:ntʃ, n.分支 树枝 分部 分科 vt & vi.分支 分岔
456,brand ,brænd, n.燃烧的木条 剑 商品 商标 牌子 烙印 类型 vt.铭刻 打烙印 污蔑
457,brandy ,'brændi, n.白兰地酒 vt.以白兰地酒调制
458,brass ,brɑ:s, n.黄铜(制品) 黄铜器 铜管(乐器) adj.黄铜的
459,brave ,breiv, adj.勇敢的 华丽的 缤纷的 vt.勇敢地面对(危险等) 抵抗 n.勇敢的人
460,Brazil ,brə'zil, n.巴西
461,Brazilian ,brə'ziljən, n.巴西人 adj.巴西的
462,bread ,bred, n.面包 食物 粮食 生计 vt.撒面包屑
463,breadth ,bredθ, n.宽度 幅度 幅面
464,break ,breik, n.休息 中断 破裂 vt.打破 损坏 弄破 弄坏 破坏
465,breakfast ,'brekfəst, n.早饭 早餐 vt.吃早餐 vi.提供早餐
466,breast ,brest, n.乳房 胸脯 胸膛 vt.面对 以胸对着
467,breath ,breθ, n.气息 呼吸 气味 微风 迹象 精神 一种说话的声音
468,breathe ,bri:ð, vi.呼吸 vt.呼吸 轻声说 流露感情 注入
469,breed ,bri:d, n.品种 族类 vt.使繁殖 养育 繁殖 引起 vi.繁殖
470,breeze ,bri:z, n.微风 和风 轻而易举的事 vi.飘然而行 轻松地得胜或进步
471,brick ,brik, n.砖 砖块 砖状物 积木 可靠的朋友 vt.(up)用砖砌补 用砖堵住
472,bridge ,bridʒ, n.桥 桥梁 桥牌 鼻梁 vt.渡过 架桥
473,brief ,bri:f, n.摘要 简报 adj.简短的 简洁的 短暂的 vt.作简报 简单讨论
474,bright ,brait, adj.明亮的 阳光的 生动的 聪明的 adv.亮 n.亮色
475,brighten ,'braitn, vt.使发光 使快活 使变亮 使生辉 vi.发光 发亮
476,brilliant ,'briljənt, adj.光辉的 卓越的 灿烂的 有才气的 杰出的 n.宝石
477,brim ,brim, n.边 边缘 帽沿 v.(装)满 (使)溢出
478,bring ,briŋ, vt.带来 引出 促使 劝诱 vi.产生
479,brisk ,brisk, adj.活泼的 活跃的 快的 清新的 敏锐的 凛冽的
480,bristle ,'brisl, n.短而硬的毛 鬃毛
481,Britain ,'britən, n.不列颠 英国
482,British ,'britiʃ, adj.不列颠的 英国的 英联邦的 n.英国人 英国英语
483,brittle ,'britl, adj.脆的 易损坏的 易碎的
484,broad ,brɔ:d, adj.宽广的 阔的 广泛的 清楚无误的 明显的 粗俗的 adv.完全地 n.(复）河流的延伸
485,broadcast ,'brɔ:dkɑ:st, n.广播 广播节目 播音 adj.广播的 vt. & vi.广播 adv.经广播 四散地
486,broken ,'brəukən, adj.被打碎的 骨折的 坏掉的 坏掉的 v.打破 弄坏(break的过去分词)
487,bronze ,brɔnz, adj.青铜色的 n.青铜 青铜制品 青铜色 铜牌(第三名) vt.使成青铜色
488,brood ,bru:d, n.窝 同窝幼鸟 vt.孵(蛋) 沉思
489,brook ,bruk, n.小河 溪流 vt.(常用于否定句或疑问句)容忍 忍受
490,broom ,bru:m, n.扫帚 灌木 vt.扫
491,brother ,'brʌðə, n.兄弟 同事 同胞 教友
492,brow ,brau, n.额 眉 眉毛
493,brown ,braun, (姓)布朗 adj.褐色的 棕色的 n.褐色 棕色
494,bruise ,bru:z, n.青肿 伤痕 擦伤 瘀青 挫伤 vi.受伤 擦伤 vt.使挫伤
495,brush ,brʌʃ, n.刷子 毛刷 画笔 轻擦 小冲突 灌木丛 vt.用刷子清洗 画 拭去 打发 vi.轻擦 拂拭
496,brute ,bru:t, n.禽兽 畜生 畜生 残忍的人 adj.残忍的 无理性的 粗暴的
497,bubble ,'bʌbl, n.泡 泡沫 气泡 幻想 骗局 欢乐 vi.冒泡 沸腾 起泡 出现 洋溢 vt.使冒泡
498,bucket ,'bʌkit, n.水桶 吊桶 铲斗 vt.装在桶里 vi.急急忙忙
499,buckle ,'bʌkl, n.皮带扣 vt. & vi.扣住 弯曲 专心做事 屈服 adj.带扣 弯曲的
500,bud ,bʌd, n.芽 萌芽 蓓蕾 vi.发芽 萌芽 vt.使发芽
501,build ,bild, vt. & vi.建筑 建立 创立 建造 创建 开发 逐渐增强 n.体格 身材
502,building ,'bildiŋ, n.建筑物 大楼 建筑
503,bulb ,bʌlb, n.电灯泡 球状物
504,bulk ,bʌlk, n.物体 容积 大批 大部分 大多数 大块 大批 容积 体积 vi.变大 增加 vt.膨胀 出现 adj.大量的
505,bull ,bul, adj.大型的 公牛的 雄性的 n. 公牛 雄的象 买空着 像牛的东西 斗牛犬 教宗训谕 法令 vi. 猛冲 vt.暴力 强制
506,bullet ,'bulit, n.枪弹 子弹 弹丸
507,bunch ,bʌntʃ, n.束 球 串 一群 一组 凸起 大量 vi.凸起 使成一束(或一群等) vt.使成一束
508,bundle ,'bʌndl, n.捆 包 束 包袱 一批 一大笔钱 vt.捆 匆匆送走 附赠 vi.匆忙
509,burden ,'bə:dn, n.担子 负担 重担 装载量 v.使负重 装载 烦扰
510,bureau ,'bjuərəu, n.局 司 处 社 所 办公处
511,burn ,bə:n, vt. & vi.烧 燃烧 烧着 烧毁 灼伤 n.烧伤 灼伤
512,burst ,bə:st, n.破裂 阵 爆发 vt. & vi.爆裂 突发
513,bury ,'beri, vt.埋葬 葬 埋藏
514,bus ,bʌs, n.公共汽车
515,bush ,buʃ, n.灌木 灌木丛 矮树 荒野 狐狸尾巴 vt. 用灌木保护或支撑 加衬套于 vi.成灌木形 丛生 adj.长得低矮的 二流的
516,business ,'biznis, n.商业 生意 事务
517,busy ,'bizi, adj.忙的 繁忙的 杂乱的 vt.使忙于 vi.忙
518,but ,bʌt, adv.仅仅 只 conj.但是 可是 prep.除...以外 pron.只有
519,butcher ,'butʃə, n.屠夫 屠杀者 刽子手 肉商 小贩 vt.屠宰 滥杀 将某事弄得一团糟
520,butter ,'bʌtə, n.黄油 阿谀奉承 vt.涂黄油
521,butterfly ,'bʌtəflai, n.蝴蝶 蝶状物 蝶泳 vt.(烹饪时把鱼肉等)切开摊平
522,button ,'bʌtn, n.扣子 按钮 像纽扣的东西 未成熟的蘑菇 按钮 vt.扣紧 用纽扣装饰 钉纽扣 闭嘴 vi.扣上
523,buy ,bai, n.合理的价格 购买 vt.买 购买 换得 收买 接受 vi.购买
524,by ,bai, prep.在...旁 被 由 经由 在...之前 根据 adv.靠近 经过 放在一旁地 adj.在旁边的 附带的 n.次要的事件
525,cabbage ,'kæbidʒ, n.洋白菜 卷心菜 vt.偷窃
526,cabin ,'kæbin, n.小木屋 船舱 机舱 vt.抑制 vi.住在小屋
527,cabinet ,'kæbinit, n.橱 柜 内阁 adj.私人的
528,cable ,'keibl, n.缆 索 电缆 海底电报 vt.打海底电报 把...拧成缆 用缆捆住 vi.打海底电报
529,cafe ,kə'fei, n.咖啡馆 小餐厅
530,cafeteria ,.kæfi'tiəriə, n.自助食堂 adj.有多种选择的
531,cage ,keidʒ, n.笼 鸟笼 囚笼 监狱 笼状结构 vt.关入笼中
532,cake ,keik, n.饼 糕 蛋糕 块状物 小菜一碟(容易做成的事) vt.涂厚厚的一层 覆盖 填满 vi.结成块
533,calculate ,'kælkjuleit, vt.计算 估计 考虑 推测 计划 vi.计算 预测 依赖
534,calculation ,.kælkju'leiʃən, n.计算 计算结果
535,calculator ,'kælkju.leitə, n.计算器 计算者
536,calendar ,'kælində, n.日历 月历 日程表 历书 历法 vt.进入日历
537,call ,kɔ:l, n.呼叫 访问 打电话 请求 把…看作 vt.把...叫做 叫 喊 呼叫 访问 打电话 vi.(短暂的)拜访 呼叫
538,calm ,kɑ:m, n.平稳 风平浪静 adj.静的 平静的 冷静的 vt. & vi.平静下来 镇静
539,camel ,'kæməl, n.骆驼 浮船箱 浅黄棕色
540,camera ,'kæmərə, n.照相机 摄影机 罗马教廷的财政部
541,camp ,kæmp, n.野营 营地 兵营 露营 帐棚 训练营 做作 vt. & vi.露营 扎营 做作 adj.做作的
542,campaign ,kæm'pein, n.战役 运动 活动 vt.参加竞赛 vi.(从事、组织)活动
543,campus ,'kæmpəs, n.校园 学校场地
544,can ,kæn, aux.v.能 会 可能 n.罐头 听头 容器 vt.罐装 vt.炒某人鱿鱼
545,Canada ,'kænədə, n.加拿大
546,Canadian ,kə'neidjən, adj.加拿大的 加拿大人的 n.加拿大人
547,canal ,kə'næl, n.运河 沟渠 管 气管 食管 vt.建运河 疏导
548,cancel ,'kænsl, n.取消 撤消 vt.取消 撤消 删去 约分 vi.抵消
549,cancer ,'kænsə, n.癌 癌症 肿瘤 巨蟹座
550,candidate ,'kændidit, n.候选人 投考者 求职者
551,candle ,'kændl, n.蜡烛 烛形物 烛光
552,candy ,'kændi, n.糖果 砂糖结晶 vt.用糖煮 使结晶为砂糖 vi.结晶为砂糖
553,cannon ,'kænən, n.大炮 火炮 榴弹炮 v.开炮
554,canoe ,kə'nu:, n.独木舟 皮艇 划子 轻舟 v.乘独木舟
555,canon ,'kænən, n. 教会法规 标准、准则 正典 正式名单 教堂里的教士 佳能 (财富500强公司之一 总部所在地日本 主要经营办公设备)
556,canteen ,kæn'ti:n, n.小卖部 临时餐室 食堂
557,canvas ,'kænvəs, n.粗帆布 一块油画布 (帆布)画布 油画
558,cap ,kæp, n.帽子 便帽 帽状物 盖子 顶 vt.给戴帽 覆盖顶端 超过 形成化学键于 抑制 vi.形成化学键
559,capable ,'keipəbl, adj.有能力的 有才能的 足以胜任的 有...倾向的
560,capacity ,kə'pæsiti, n.容量 能力 能量 容积 资格 职位 adj.(达到最大容量)满的
561,capital ,'kæpitl, n.资本 资金 首都 大写字母 adj.大写的 资本的 首要的
562,captain ,'kæptin, n.陆军上尉 队长 船长 首领 vt.率领 指挥
563,captive ,'kæptiv, n.俘虏 被监禁的人 迷恋者 adj.被俘的 被迷住的
564,capture ,'kæptʃə, n.抓取 战利品 捕获之物 vt.捕获 俘获 夺得 抓取 获得 迷住
565,car ,kɑ:, n.汽车 小汽车 轿车 车厢 吊舱
566,carbon ,'kɑ:bən, n.碳 灯芯 复写纸
567,card ,kɑ:d, n.卡 卡片 名片 纸牌 打牌 节目单 vt.附上或提供卡片 印卡 在卡片上列出 检查资格
568,care ,kɛə, n.小心 照料 忧虑 慎思 焦虑因素 vi.关心 介意 照顾 喜爱 vt.介意 希望 abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
569,career ,kə'riə, n.生涯 职业 事业 经历 vi.猛冲 飞跑 vt.在...中急行
570,careful ,'kɛəfəl, adj.小心的 仔细的 细致的
571,careless ,'kɛəlis, adj.粗心的 漫不经心的 疏忽的 n.不关心的 粗心的 [反]attentive
572,cargo ,'kɑ:gəu, n.船货 货物
573,carpenter ,'kɑ:pintə, n.木工 木匠 v.做木工活
574,carpet ,'kɑ:pit, n.地毯 毡毯 毛毯 vt.铺以地毯 铺盖
575,carriage ,'kæridʒ, n.客车厢 四轮马车
576,carrier ,'kæriə, n.运输工具 运载工具 运送者 行李架 客运公司 航空母舰 带菌者 电信公司
577,carrot ,'kærət, n.胡罗卜 报酬 好处
578,carry ,'kæri, n. 搬运 射程 投射 联运 vt. 负载 承担 携带 运载 运输 传送 传播 表达 带有 容纳 怀孕 延续 推动 赢得 记录 vi. 负载 被传达 容许被运输 被通过
579,cart ,kɑ:t, n.(二轮或四轮)运货马车 手推车 vt.用马车装载 用手提(笨重物品) 强行带走
580,carve ,kɑ:v, vt.刻 雕刻 切开 vi.雕刻 切割
581,case ,keis, n.情况 事实 实情 病例 箱(子) 盒(子) 套 案例 vt.装箱 踩点
582,cash ,kæʃ, n.现金 现款 vt.兑现 付现款 adj.现金的
583,cassette ,kə'set, n.盒式录音带 盒子 匣子 盒式录音机
584,cast ,kɑ:st, n.演员阵容 投掷 vt.投 扔 抛 浇铸
585,castle ,'kɑ:sl, n.城堡 巨大建筑物 vt.置于城堡中 (棋)移动王车易位 vi.(棋)移动王车易位
586,casual ,'kæʒjuəl, adj.偶然的 随便的 非正式 漫不经心的
587,cat ,kæt, n.猫 猫科 猫皮 邪恶的女人 吊锚机 单帆小船 vt.吊锚 vi.寻找性交伴侣 (CAT)电子计算机横断层扫描
